timestamp,source,event_id,detail,anomalous
2026-06-01 00:11:00,identity_access,IA003459,vendor login to Staff-VPN via vpn_password -> success (location=airport-terminal),True
2026-06-01 10:06:46,network_endpoint,NW005432,"vendor-vpn -> vendor-vpn traffic, port 80, 89,566 bytes (device DEV0292)",False
2026-06-01 16:30:33,identity_access,IA003446,vendor login to Baggage-Handling-System via sso_password -> success (location=vendor-remote-site),True
2026-06-01 19:00:43,operational_app,OP002895,export_report on Gate-Management-System (standard) -> success,False
2026-06-02 04:55:50,network_endpoint,NW001718,"vendor-vpn -> operational-apps traffic, port 5432, 6,572,060 bytes (device DEV0131)",True
2026-06-02 13:31:07,operational_app,OP001643,view_manifest on Departure-Control-System (standard) -> success,False
2026-06-02 23:29:04,network_endpoint,NW003098,"vendor-vpn -> operational-apps traffic, port 3389, 8,024,433 bytes (device DEV0144)",True
2026-06-03 18:32:58,identity_access,IA003379,vendor login to Staff-VPN via vpn_password -> success (location=airport-terminal),True
2026-06-03 19:30:43,identity_access,IA005406,vendor login to Airfield-Ops-Portal via sso_password -> success (location=vendor-remote-site),False
2026-06-03 23:14:54,network_endpoint,NW000279,"vendor-vpn -> operational-apps traffic, port 3389, 2,515,886 bytes (device DEV0371)",True
2026-06-03 23:35:16,operational_app,OP000292,admin_config_change on Baggage-Handling-System (elevated) -> denied,True
2026-06-04 00:45:04,network_endpoint,NW004964,"vendor-vpn -> operational-apps traffic, port 5432, 7,465,471 bytes (device DEV0313)",True
2026-06-04 12:36:59,identity_access,IA004970,vendor login to Baggage-Handling-System via vpn_password -> success (location=vendor-remote-site),True
2026-06-05 02:14:07,operational_app,OP003089,admin_config_change on Cargo-Manifest-System (elevated) -> success,True
2026-06-05 21:06:02,network_endpoint,NW000718,"vendor-vpn -> vendor-vpn traffic, port 80, 263,762 bytes (device DEV0198)",False
2026-06-06 01:38:59,network_endpoint,NW004383,"vendor-vpn -> operational-apps traffic, port 22, 1,640,996 bytes (device DEV0356)",True
